,id,actual,google/gemma-2-2b-it,google/gemma-2-2b-it-Probs
135,7529,1,-1,-1
136,22768,2,0,0
137,10451,1,0,0
138,33,2,0,0
139,22705,2,0,0
140,23122,2,0,0
141,9486,1,1,1
142,6684,1,1,1
143,14789,1,0,0
144,23428,2,-1,-1
145,22605,2,0,0
146,1880,1,0,0
147,6464,0,0,0
148,9003,1,0,0
149,16247,1,1,1
150,14122,1,1,1
151,5871,0,0,0
152,5313,1,2,2
153,12316,0,2,2
154,10171,2,2,2
155,7566,0,0,0
156,22978,2,0,0
157,6896,1,0,0
158,11069,0,0,0
159,18163,0,0,0
160,2897,0,1,1
161,19352,0,0,0
162,23216,2,0,0
163,3831,0,1,1
164,22860,2,2,2
165,22646,2,-1,-1
166,1801,0,2,2
167,6492,1,1,1
168,23187,2,2,2
169,14948,0,-1,-1
170,23004,2,0,0
171,16693,0,-1,-1
172,22639,2,-1,-1
173,22980,2,0,0
174,4729,1,1,1
175,23071,2,2,2
176,8133,1,1,1
177,13154,0,-1,-1
178,3638,0,2,2
179,23077,2,0,0
180,22564,2,2,2
181,14750,0,0,0
182,22831,2,0,0
183,11994,1,2,2
184,14071,1,2,2
185,5593,0,0,0
186,22598,2,-1,-1
187,23301,2,2,2
188,13414,1,-1,-1
189,19120,0,1,1
190,22825,2,0,0
191,529,0,-1,-1
192,8106,0,0,0
193,23276,2,2,2
194,3474,0,0,0
195,19313,1,2,2
196,22898,2,2,2
197,3655,0,0,0
198,22733,2,-1,-1
199,11059,0,0,0
200,23439,2,2,2
201,18570,1,0,0
202,15861,1,0,0
203,23266,2,0,0
204,6152,1,0,0
205,13361,1,-1,-1
206,18949,1,-1,-1
207,22918,2,-1,-1
208,22942,2,2,2
209,23356,2,2,2
210,7672,0,0,0
211,22541,2,2,2
212,23371,2,2,2
213,17393,1,2,2
214,14645,0,0,0
215,15235,0,0,0
216,8617,1,2,2
217,22779,2,0,0
218,15503,1,0,0
219,11724,1,0,0
220,10044,0,0,0
221,22604,2,2,2
222,3423,1,1,1
223,14786,0,0,0
224,6930,0,-1,-1
225,351,0,0,0
226,75,1,-1,-1
227,6035,1,1,1
228,23462,2,0,0
229,420,1,1,1
230,13804,0,0,0
231,22720,2,-1,-1
232,22670,2,0,0
233,15231,0,-1,-1
234,22769,2,2,2
235,10208,0,0,0
236,18847,1,2,2
237,14533,0,0,0
238,22780,2,0,0
239,7119,1,1,1
240,23360,2,2,2
241,23304,2,1,1
242,22794,2,2,2
243,12515,0,-1,-1
244,5633,2,1,1
245,22609,2,2,2
246,9208,1,1,1
247,3457,0,0,0
248,16412,0,0,0
249,23029,2,2,2
250,17192,0,0,0
251,12045,0,0,0
252,22591,2,0,0
253,2344,1,0,0
254,148,0,0,0
255,23265,2,2,2
256,22987,2,2,2
257,22975,2,-1,-1
258,19301,1,0,0
259,13028,0,0,0
260,22658,2,2,2
261,23517,2,2,2
262,1928,0,0,0
263,14643,1,0,0
264,17636,1,0,0
265,9125,0,0,0
266,800,0,0,0
267,22963,2,0,0
268,22754,2,2,2
269,18065,0,0,0
270,23386,2,2,2
271,16646,1,1,1
272,15540,1,1,1
273,7121,1,1,1
274,16802,1,1,1
275,17246,0,2,2
276,4567,1,-1,-1
277,10093,0,0,0
278,22685,2,-1,-1
279,22971,2,0,0
280,9190,0,0,0
281,13687,0,0,0
282,2332,0,0,0
283,23012,2,0,0
284,5901,1,2,2
285,13993,1,0,0
286,1871,1,-1,-1
287,1676,0,0,0
288,533,1,1,1
289,8181,1,2,2
290,17444,0,0,0
291,3690,0,0,0
292,23203,2,2,2
293,22914,2,0,0
294,12318,1,-1,-1
295,16428,1,1,1
296,1002,1,0,0
297,23126,2,2,2
298,22951,2,2,2
299,19496,1,0,0
300,11948,1,0,0
301,22788,2,2,2
302,23062,2,0,0
303,6841,0,0,0
304,1816,1,1,1
305,23161,2,2,2
306,14910,0,0,0
307,11209,1,0,0
308,18972,0,1,1
309,12910,1,0,0
310,22840,2,2,2
311,23153,2,0,0
312,462,0,1,1
313,23373,2,0,0
314,15635,1,0,0
315,18180,1,1,1
316,23359,2,2,2
317,12117,0,-1,-1
318,22956,2,-1,-1
319,5562,1,0,0
320,11313,1,0,0
321,22610,2,-1,-1
322,19285,1,-1,-1
323,1209,1,2,2
324,12767,0,0,0
325,17285,0,0,0
326,5986,1,1,1
327,2109,1,1,1
328,22875,2,2,2
329,23155,2,0,0
330,23039,2,0,0
331,14461,0,0,0
332,1805,0,0,0
333,22696,2,0,0
334,11648,1,1,1
335,23215,2,0,0
336,23024,2,0,0
337,7921,0,0,0
338,994,0,0,0
339,16077,0,0,0
340,14044,1,0,0
341,19247,1,0,0
342,1109,1,1,1
343,23298,2,0,0
344,19460,0,0,0
345,3933,1,0,0
346,23075,2,2,2
347,10813,1,1,1
348,4635,1,2,2
349,15734,0,1,1
350,23026,2,-1,-1
351,16054,0,0,0
352,483,1,0,0
353,23054,2,2,2
354,12861,1,0,0
355,22823,2,2,2
356,7579,1,-1,-1
357,3952,0,0,0
358,19244,1,0,0
359,16373,1,0,0
360,5897,0,0,0
361,10810,1,0,0
362,22760,2,-1,-1
363,8179,1,0,0
364,10561,1,2,2
365,22657,2,2,2
366,22704,2,0,0
367,12069,1,1,1
368,22731,2,0,0
369,18294,1,-1,-1
370,3989,0,-1,-1
371,4616,0,-1,-1
372,15912,1,1,1
373,17166,1,0,0
374,23368,2,0,0
375,3928,0,0,0
376,4414,1,0,0
377,22681,2,0,0
378,23319,2,2,2
379,1506,0,0,0
380,23254,2,2,2
381,2375,0,0,0
382,3625,0,0,0
383,23198,2,0,0
384,15924,0,0,0
385,2162,0,1,1
386,18350,0,0,0
387,10103,0,-1,-1
388,23455,2,-1,-1
389,288,0,0,0
390,7372,1,0,0
391,4931,0,0,0
392,9225,1,-1,-1
393,277,0,0,0
394,22546,2,2,2
395,23303,2,2,2
396,689,1,0,0
397,872,1,0,0
398,11211,1,2,2
399,4989,1,2,2
400,15864,1,1,1
401,22689,2,2,2
402,23060,2,-1,-1
403,8753,1,0,0
404,1566,0,-1,-1
405,10979,0,2,2
406,13004,1,1,1
407,6244,1,0,0
408,19490,1,0,0
409,11869,1,1,1
410,16512,0,0,0
411,12679,1,1,1
412,17426,1,1,1
413,18451,0,0,0
414,23208,2,2,2
415,15533,1,2,2
416,13899,1,0,0
417,2171,1,1,1
418,8755,1,0,0
419,22757,2,0,0
420,23244,2,2,2
421,22869,2,2,2
422,23105,2,0,0
423,2376,0,0,0
424,17326,2,2,2
425,23353,2,2,2
426,13743,0,0,0
427,1329,0,0,0
428,13237,2,-1,-1
429,23125,2,2,2
430,3749,0,0,0
431,1715,1,1,1
432,22581,2,1,1
433,274,0,0,0
434,22772,2,0,0
435,23349,2,2,2
436,23239,2,2,2
437,22561,2,2,2
438,23313,2,-1,-1
439,23431,2,0,0
440,413,0,0,0
441,22988,2,2,2
442,17062,1,1,1
443,10085,1,-1,-1
444,22904,2,2,2
445,12731,0,0,0
446,7352,0,0,0
447,8584,0,0,0
448,23058,2,2,2
449,3471,0,0,0
450,1460,0,0,0
451,14749,0,-1,-1
452,13084,1,1,1
453,22953,2,2,2
454,23513,2,-1,-1
455,23477,2,-1,-1
456,23028,2,-1,-1
457,8041,0,0,0
458,22960,2,1,1
459,10560,1,1,1
460,10183,1,1,1
461,14371,1,1,1
462,6891,1,-1,-1
463,22776,2,2,2
464,22676,2,2,2
465,4193,1,2,2
466,23409,2,2,2
467,3134,1,0,0
468,17812,1,0,0
469,10598,0,0,0
470,11749,0,0,0
471,11463,1,1,1
472,3528,1,0,0
473,23188,2,0,0
474,16587,1,1,1
475,13800,0,0,0
476,13169,0,0,0
477,14068,1,0,0
478,23385,2,0,0
479,23182,2,-1,-1
480,9129,0,0,0
481,745,1,0,0
482,22663,2,0,0
483,1623,1,0,0
484,12648,0,0,0
485,22959,2,2,2
486,7644,1,0,0
487,5112,0,0,0
488,16934,0,0,0
489,23000,2,2,2
490,5560,0,0,0
491,8169,0,1,1
492,15826,1,0,0
493,10237,1,0,0
494,9523,1,1,1
495,11362,1,1,1
496,8745,0,0,0
497,5122,0,0,0
498,22587,2,-1,-1
499,22674,2,0,0
500,2053,0,0,0
501,23442,2,-1,-1
502,7047,1,1,1
503,23490,2,2,2
504,8206,1,-1,-1
505,5526,1,1,1
506,22700,2,2,2
507,17311,1,1,1
508,9176,1,0,0
509,16325,0,0,0
510,5595,1,1,1
511,22824,2,0,0
512,5442,1,-1,-1
513,15172,1,2,2
514,22894,2,2,2
515,11116,0,0,0
516,22645,2,1,1
517,2151,0,2,2
518,5377,2,-1,-1
519,22883,2,0,0
520,23323,2,-1,-1
521,22992,2,0,0
522,23414,2,0,0
523,532,1,1,1
524,12563,1,0,0
525,22931,2,-1,-1
526,23199,2,-1,-1
527,5064,1,-1,-1
528,22738,2,1,1
529,22912,2,2,2
530,16358,0,0,0
531,23503,2,-1,-1
532,19421,0,0,0
533,22839,2,2,2
534,23310,2,0,0
535,16735,1,1,1
536,23049,2,0,0
537,8208,1,2,2
538,10959,1,0,0
539,18471,1,-1,-1
540,5197,0,-1,-1
541,23405,2,0,0
542,18238,0,1,1
543,10088,0,0,0
544,23272,2,0,0
545,23383,2,0,0
546,1672,0,0,0
547,22876,2,0,0
548,22526,2,2,2
549,22926,2,1,1
550,23432,2,0,0
551,10239,0,0,0
552,22829,2,0,0
553,870,1,0,0
554,23249,2,2,2
555,22863,2,2,2
556,22579,2,0,0
557,22632,2,0,0
558,11601,1,0,0
559,13083,1,1,1
560,1026,0,-1,-1
561,15123,0,0,0
562,11981,0,0,0
563,16159,1,0,0
564,4296,1,2,2
565,23441,2,2,2
566,2695,0,0,0
567,23473,2,2,2
568,798,1,0,0
569,22737,2,1,1
570,22811,2,0,0
571,23374,2,0,0
572,17987,0,0,0
573,17380,0,2,2
574,23417,2,2,2
575,15054,0,2,2
576,15603,0,-1,-1
577,11224,0,0,0
578,249,0,1,1
579,15634,1,1,1
580,22721,2,2,2
581,7074,1,0,0
582,22900,2,0,0
583,11190,0,0,0
584,13171,1,-1,-1
585,14844,0,2,2
586,22569,2,-1,-1
587,17528,1,1,1
588,23510,2,2,2
589,19097,1,1,1
590,7615,2,1,1
591,23410,2,1,1
592,22944,2,0,0
593,23362,2,0,0
594,18068,1,0,0
595,22536,2,2,2
596,1004,1,0,0
597,22949,2,1,1
598,2328,0,1,1
599,276,0,0,0
600,23027,2,2,2
601,23277,2,-1,-1
602,9899,0,1,1
603,71,0,0,0
604,11879,0,0,0
605,12066,1,1,1
606,17273,1,2,2
607,2861,0,0,0
608,5027,1,1,1
609,5452,1,0,0
610,9,0,0,0
611,8439,1,1,1
612,10302,1,0,0
613,5998,1,1,1
614,17111,1,0,0
615,23365,2,2,2
616,13507,0,0,0
617,22695,2,0,0
618,10169,1,2,2
619,12668,0,0,0
620,3545,1,0,0
621,14555,1,1,1
622,15472,1,0,0
623,9417,0,-1,-1
624,22543,2,-1,-1
625,3588,0,0,0
626,23515,2,2,2
627,23001,2,0,0
628,22970,2,2,2
629,23225,2,0,0
630,22673,2,2,2
631,11603,0,0,0
632,4883,1,0,0
633,23344,2,2,2
634,23202,2,2,2
635,14619,0,0,0
636,18063,0,0,0
637,445,0,0,0
638,16767,1,1,1
639,23336,2,2,2
640,22973,2,-1,-1
641,18818,1,0,0
642,1592,1,0,0
643,2117,1,-1,-1
644,22620,2,0,0
645,22607,2,2,2
646,23109,2,1,1
647,22846,2,0,0
648,16845,2,0,0
649,22728,2,-1,-1
650,16673,1,0,0
651,22554,2,2,2
652,12241,1,0,0
653,23330,2,1,1
654,9097,0,0,0
655,23377,2,2,2
656,35,1,0,0
657,16216,0,0,0
658,12121,1,0,0
659,8883,0,0,0
660,4732,0,1,1
661,23506,2,0,0
662,19188,0,0,0
663,11996,0,0,0
664,6535,0,0,0
665,16989,1,0,0
666,22881,2,-1,-1
667,12730,1,-1,-1
668,8937,1,0,0
669,23167,2,0,0
670,11936,0,0,0
671,23300,2,2,2
672,15863,1,0,0
673,22976,2,-1,-1
674,10011,1,0,0
675,2347,0,0,0
676,761,0,0,0
677,995,0,0,0
678,18089,0,0,0
679,22841,2,2,2
680,22947,2,2,2
681,3698,0,0,0
682,4879,0,0,0
683,8721,1,0,0
684,15890,1,1,1
685,8202,0,0,0
686,13338,1,0,0
687,23496,2,2,2
688,7992,1,0,0
689,23472,2,0,0
690,13692,0,0,0
691,11502,1,1,1
692,23018,2,2,2
693,19278,1,0,0
694,1128,2,2,2
695,9729,0,0,0
696,13733,0,-1,-1
697,6567,0,0,0
698,4483,1,1,1
699,15103,0,0,0
700,3766,0,0,0
701,13336,0,2,2
702,3422,1,1,1
703,15617,0,0,0
704,11305,0,-1,-1
705,14445,0,0,0
706,1107,0,2,2
707,10078,0,0,0
708,22623,2,0,0
709,8651,1,0,0
710,19307,0,0,0
711,23189,2,0,0
712,6531,0,0,0
713,23098,2,1,1
714,23017,2,0,0
715,942,0,0,0
716,15041,1,0,0
717,4066,0,2,2
718,22838,2,0,0
719,22687,2,2,2
720,22986,2,-1,-1
721,13772,0,0,0
722,12600,1,1,1
723,22826,2,0,0
724,16138,0,0,0
725,22617,2,-1,-1
726,22957,2,2,2
727,3103,1,1,1
728,23287,2,0,0
729,14211,1,-1,-1
730,22727,2,0,0
731,5488,0,0,0
732,13245,0,0,0
733,23505,2,2,2
734,5041,1,1,1
735,13349,0,0,0
736,889,1,0,0
737,14558,1,1,1
738,5914,1,1,1
739,23183,2,0,0
740,7318,1,0,0
741,19044,0,2,2
742,22688,2,0,0
743,7312,1,1,1
744,17865,0,0,0
745,9289,0,-1,-1
746,23499,2,-1,-1
747,4734,1,-1,-1
748,16427,0,1,1
749,22909,2,2,2
750,13091,0,-1,-1
751,3908,0,0,0
752,12957,1,1,1
753,10976,0,0,0
754,15232,0,0,0
755,23408,2,1,1
756,17386,0,0,0
757,10690,1,0,0
758,4165,1,0,0
759,7640,1,0,0
760,23050,2,2,2
761,200,0,0,0
762,22739,2,0,0
763,7535,1,0,0
764,13411,1,1,1
765,8361,0,2,2
766,22699,2,0,0
767,22719,2,0,0
768,9263,0,1,1
769,6286,0,1,1
770,9262,0,2,2
771,13530,0,0,0
772,49,1,0,0
773,3855,1,2,2
774,14376,1,-1,-1
775,5065,0,0,0
776,23120,2,2,2
777,16987,0,0,0
778,6787,0,0,0
779,13236,1,-1,-1
780,11946,1,-1,-1
781,23351,2,2,2
782,4692,1,-1,-1
783,23112,2,-1,-1
784,5876,0,0,0
785,6280,0,0,0
786,22919,2,2,2
787,251,1,0,0
788,2430,1,-1,-1
789,4105,0,1,1
790,23342,2,0,0
791,11302,0,0,0
792,23144,2,2,2
793,2152,1,2,2
794,8144,1,1,1
795,23361,2,1,1
796,22589,2,-1,-1
797,13030,0,1,1
798,22880,2,0,0
799,3758,0,0,0
800,17621,1,1,1
801,18809,1,0,0
802,9894,0,2,2
803,15393,1,1,1
804,23089,2,2,2
805,23206,2,0,0
806,16695,0,0,0
807,7995,0,0,0
808,17453,0,0,0
809,22795,2,0,0
810,23219,2,2,2
811,5057,0,0,0
812,10702,0,0,0
813,14134,2,1,1
814,7621,0,2,2
815,1138,0,0,0
816,13025,1,0,0
817,14977,1,1,1
818,4725,1,0,0
819,10783,0,0,0
820,17065,1,0,0
821,23423,2,0,0
822,23489,2,-1,-1
823,15240,1,0,0
824,15124,0,0,0
825,18540,1,0,0
826,17108,0,1,1
827,23352,2,2,2
828,6778,0,-1,-1
829,23084,2,2,2
830,17630,0,1,1
831,23010,2,2,2
832,19024,1,0,0
833,22648,2,2,2
834,18372,1,1,1
835,22655,2,2,2
836,4185,0,2,2
837,6141,0,-1,-1
838,22905,2,0,0
839,18018,0,0,0
840,2495,1,0,0
841,22921,2,-1,-1
842,16357,0,0,0
843,727,1,0,0
844,895,0,0,0
845,13490,0,1,1
846,15245,0,0,0
847,22698,2,2,2
848,23500,2,0,0
849,30,0,0,0
850,13459,1,1,1
851,15567,1,1,1
852,3673,0,0,0
853,22886,2,-1,-1
854,23447,2,2,2
855,1381,0,-1,-1
856,404,1,1,1
857,18542,1,0,0
858,18225,0,2,2
859,4701,1,2,2
860,3846,1,-1,-1
861,22755,2,2,2
862,402,1,2,2
863,3567,0,0,0
864,5431,1,1,1
865,10421,1,2,2
866,22818,2,1,1
867,11413,1,1,1
868,3303,1,1,1
869,23292,2,2,2
870,22789,2,2,2
871,22817,2,0,0
872,22974,2,2,2
873,23308,2,2,2
874,22812,2,0,0
875,23315,2,2,2
876,18998,0,0,0
877,23427,2,0,0
878,6122,0,0,0
879,17943,1,0,0
880,23372,2,2,2
881,15225,1,0,0
882,22573,2,0,0
883,23306,2,-1,-1
884,10567,0,0,0
885,11939,1,0,0
886,1395,0,1,1
887,11088,0,0,0
888,22732,2,-1,-1
889,1024,1,0,0
890,14547,1,1,1
891,633,0,-1,-1
892,23391,2,2,2
893,22647,2,2,2
894,18060,0,0,0
895,6246,1,1,1
896,2855,0,0,0
897,7860,1,0,0
898,4311,0,0,0
899,3078,1,-1,-1
900,14398,1,1,1
901,3674,0,0,0
902,23092,2,0,0
903,17317,1,2,2
904,22556,2,2,2
905,12764,1,0,0
906,8783,1,0,0
907,22634,2,2,2
908,2682,0,0,0
909,3463,0,0,0
910,22707,2,2,2
911,9621,1,0,0
912,15440,0,0,0
913,5983,0,1,1
914,22787,2,2,2
915,23237,2,2,2
916,9454,0,0,0
917,61,0,0,0
918,18755,1,1,1
919,18844,0,-1,-1
920,5485,0,0,0
921,13362,0,0,0
922,22774,2,-1,-1
923,13533,0,0,0
924,22649,2,2,2
925,12729,0,-1,-1
926,16634,0,0,0
927,2228,1,0,0
928,23238,2,2,2
929,23246,2,0,0
930,23046,2,0,0
931,9287,1,-1,-1
932,22627,2,2,2
933,7483,1,0,0
934,11984,0,0,0
935,14659,0,0,0
936,10147,1,2,2
937,16558,0,0,0
938,6836,1,-1,-1
939,22853,2,2,2
940,2863,0,0,0
941,23380,2,0,0
942,10106,1,0,0
943,7980,0,-1,-1
944,22884,2,0,0
945,22552,2,2,2
946,8147,1,0,0
947,23440,2,0,0
948,13731,0,0,0
949,23195,2,2,2
950,23051,2,0,0
951,22577,2,2,2
952,22550,2,0,0
953,16610,0,0,0
954,23059,2,-1,-1
955,12342,1,0,0
956,930,1,1,1
957,22832,2,2,2
958,1926,1,0,0
959,23464,2,2,2
960,23507,2,2,2
961,22534,2,-1,-1
962,16855,0,-1,-1
963,3643,0,0,0
964,23392,2,2,2
965,11197,1,0,0
966,10090,1,0,0
967,23411,2,2,2
968,11763,2,0,0
969,478,0,0,0
970,6038,1,-1,-1
971,14618,1,0,0
972,22874,2,2,2
973,16516,0,0,0
974,14568,0,1,1
975,16878,0,0,0
976,7569,0,0,0
977,23003,2,2,2
978,23251,2,0,0
979,3314,1,0,0
980,18554,0,0,0
981,14367,0,0,0
982,13374,0,0,0
983,23184,2,0,0
984,23345,2,0,0
985,10545,1,0,0
986,22879,2,0,0
987,11238,1,0,0
988,16677,0,0,0
989,14546,1,2,2
990,5219,1,0,0
991,22635,2,2,2
992,721,1,0,0
993,11066,1,1,1
994,23085,2,1,1
995,341,1,1,1
996,22560,2,2,2
997,311,0,0,0
998,23100,2,-1,-1
999,23488,2,-1,-1
1000,23128,2,0,0
1001,2634,0,-1,-1
1002,8440,1,1,1
1003,9963,1,2,2
1004,7531,1,1,1
1005,13363,0,0,0
1006,22612,2,0,0
1007,8125,1,1,1
1008,22936,2,0,0
1009,14999,0,-1,-1
1010,23165,2,-1,-1
1011,22833,2,2,2
1012,4294,0,0,0
1013,8135,1,1,1
1014,14406,0,2,2
1015,23326,2,0,0
1016,2050,0,0,0
1017,15599,0,0,0
1018,12560,0,0,0
1019,22985,2,2,2
1020,22740,2,0,0
1021,4602,0,0,0
1022,14860,1,1,1
1023,23099,2,0,0
1024,8671,0,0,0
1025,15813,1,0,0
1026,23217,2,2,2
1027,4137,0,0,0
1028,9901,0,0,0
1029,8964,0,1,1
1030,759,0,0,0
1031,22761,2,-1,-1
1032,3395,0,0,0
1033,22528,2,-1,-1
1034,23011,2,-1,-1
1035,8656,1,1,1
1036,17269,0,2,2
1037,4320,0,-1,-1
1038,23056,2,2,2
1039,15465,1,0,0
1040,18592,0,-1,-1
1041,22822,2,2,2
1042,5268,0,-1,-1
1043,8033,1,2,2
1044,10052,1,0,0
1045,3946,0,0,0
1046,8038,1,0,0
1047,23453,2,1,1
1048,18572,0,0,0
1049,5838,0,0,0
1050,22885,2,2,2
1051,520,1,0,0
1052,23343,2,-1,-1
1053,15611,0,0,0
1054,19280,0,0,0
1055,23045,2,2,2
1056,23299,2,2,2
1057,6065,0,0,0
1058,19365,1,1,1
1059,22990,2,-1,-1
1060,1735,0,0,0
1061,23114,2,0,0
1062,13424,0,0,0
1063,22570,2,2,2
1064,13305,0,0,0
1065,7388,0,0,0
1066,10150,0,0,0
1067,23047,2,-1,-1
1068,9096,0,0,0
1069,23458,2,0,0
1070,16731,1,0,0
1071,5265,1,0,0
1072,23309,2,2,2
1073,18443,0,0,0
1074,23518,2,0,0
1075,17586,0,-1,-1
1076,23461,2,2,2
1077,13488,1,0,0
1078,23318,2,2,2
1079,18727,0,0,0
1080,23113,2,2,2
1081,14979,1,0,0
1082,22565,2,-1,-1
1083,11085,1,0,0
1084,22656,2,2,2
1085,23256,2,2,2
1086,22775,2,-1,-1
1087,2959,0,2,2
1088,22836,2,-1,-1
1089,8886,1,0,0
1090,3600,0,1,1
1091,10918,0,2,2
1092,2334,1,0,0
1093,9591,1,1,1
1094,12243,1,0,0
1095,18819,1,0,0
1096,22641,2,2,2
1097,22751,2,0,0
1098,4469,1,0,0
1099,13629,1,0,0
1100,22933,2,-1,-1
1101,15411,1,1,1
1102,10636,1,0,0
1103,22580,2,0,0
1104,22906,2,0,0
1105,8757,1,0,0
1106,10142,0,0,0
1107,14944,1,1,1
1108,19126,0,0,0
1109,733,1,2,2
1110,23135,2,2,2
1111,22870,2,-1,-1
1112,19171,1,1,1
1113,9266,0,0,0
1114,12505,1,0,0
1115,16886,0,1,1
1116,925,0,0,0
1117,22889,2,2,2
1118,10526,1,0,0
1119,23068,2,0,0
1120,23273,2,0,0
1121,8580,1,2,2
1122,22575,2,0,0
1123,4188,1,2,2
1124,22603,2,-1,-1
1125,22697,2,2,2
1126,18439,0,0,0
1127,22759,2,0,0
1128,6381,0,0,0
1129,5631,1,1,1
1130,14942,1,-1,-1
1131,2333,0,1,1
1132,15510,0,0,0
1133,6626,0,0,0
1134,15247,0,0,0
1135,9023,1,2,2
1136,23263,2,0,0
1137,22962,2,0,0
1138,22679,2,0,0
1139,22895,2,0,0
1140,16821,0,1,1
1141,11068,0,0,0
1142,22920,2,0,0
1143,14859,1,1,1
1144,9338,1,1,1
1145,16682,0,0,0
1146,10869,1,0,0
1147,3963,1,0,0
1148,23022,2,0,0
1149,9312,1,-1,-1
1150,12245,1,1,1
1151,23094,2,2,2
1152,22854,2,2,2
1153,5044,1,1,1
1154,9095,0,0,0
1155,15427,1,0,0
1156,5297,1,1,1
1157,14303,0,0,0
1158,13657,1,0,0
1159,17168,1,1,1
1160,3403,1,0,0
1161,13947,2,0,0
1162,14058,1,0,0
1163,1407,0,2,2
1164,17173,2,0,0
1165,17938,0,0,0
1166,15189,0,-1,-1
1167,23076,2,-1,-1
1168,3483,0,-1,-1
1169,6493,0,1,1
1170,22845,2,2,2
1171,19279,1,1,1
1172,13247,2,-1,-1
1173,23316,2,2,2
1174,6175,0,0,0
1175,11765,1,2,2
1176,23382,2,2,2
1177,12913,1,0,0
1178,22667,2,-1,-1
1179,18965,0,0,0
1180,6689,0,0,0
1181,141,0,0,0
1182,3367,1,0,0
1183,10068,0,0,0
1184,22716,2,2,2
1185,23466,2,-1,-1
1186,17188,0,-1,-1
1187,18162,0,0,0
1188,22891,2,2,2
1189,3364,0,0,0
1190,23232,2,2,2
1191,23157,2,0,0
1192,23150,2,-1,-1
1193,22892,2,2,2
1194,22642,2,2,2
1195,501,1,1,1
1196,3741,1,0,0
1197,19305,1,-1,-1
1198,22582,2,0,0
1199,12133,0,0,0
1200,22784,2,2,2
1201,18131,0,0,0
1202,23418,2,1,1
1203,3143,0,0,0
1204,1581,1,0,0
1205,6793,1,0,0
1206,3847,1,2,2
1207,23223,2,0,0
1208,23149,2,-1,-1
1209,11944,1,2,2
1210,23252,2,2,2
1211,23148,2,0,0
1212,22540,2,2,2
1213,6581,1,1,1
1214,22844,2,0,0
1215,23317,2,0,0
1216,6890,0,-1,-1
1217,7910,1,0,0
1218,22827,2,-1,-1
1219,5320,1,1,1
1220,22586,2,0,0
